League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Bundesliga,14/03/2026,Hoffenheim,Wolfsburg,1.42,2.73
Bundesliga,14/03/2026,Leverkusen,Bayern Munich,1.36,03.02
Bundesliga,14/03/2026,Hamburg,FC Koln,1.74,02.03
Bundesliga,15/03/2026,Werder Bremen,Mainz,1.73,02.03
Bundesliga,15/03/2026,Freiburg,Union Berlin,2.1,1.68
Bundesliga,15/03/2026,Stuttgart,RB Leipzig,1.36,03.02
Bundesliga,20/03/2026,RB Leipzig,Hoffenheim,1.36,03.05
Bundesliga,21/03/2026,Bayern Munich,Union Berlin,1.31,3.26
Bundesliga,21/03/2026,FC Koln,M'gladbach,1.74,02.01
Bundesliga,21/03/2026,Heidenheim,Leverkusen,1.52,2.44
Bundesliga,21/03/2026,Wolfsburg,Werder Bremen,1.66,2.14
Bundesliga,21/03/2026,Dortmund,Hamburg,1.52,2.46
Bundesliga,22/03/2026,Mainz,Ein Frankfurt,1.7,2.1
Bundesliga,22/03/2026,St Pauli,Freiburg,2.23,1.61
Bundesliga,22/03/2026,Augsburg,Stuttgart,1.56,2.34
Bundesliga,04/04/2026,Freiburg,Bayern Munich,1.36,03.03
Bundesliga,04/04/2026,Hamburg,Augsburg,1.78,1.98
Bundesliga,04/04/2026,Hoffenheim,Mainz,1.53,2.42
Bundesliga,04/04/2026,Leverkusen,Wolfsburg,1.44,2.69
Bundesliga,04/04/2026,M'gladbach,Heidenheim,1.59,2.29
Bundesliga,04/04/2026,Werder Bremen,RB Leipzig,1.48,2.58
Bundesliga,04/04/2026,Stuttgart,Dortmund,1.42,2.75
Bundesliga,05/04/2026,Union Berlin,St Pauli,2.46,1.51
Bundesliga,05/04/2026,Ein Frankfurt,FC Koln,1.7,02.09
Bundesliga,10/04/2026,Augsburg,Hoffenheim,1.55,2.38
Bundesliga,11/04/2026,Dortmund,Leverkusen,1.51,2.46
Bundesliga,11/04/2026,Heidenheim,Union Berlin,1.84,1.91
Bundesliga,11/04/2026,RB Leipzig,M'gladbach,1.43,2.7
Bundesliga,11/04/2026,Wolfsburg,Ein Frankfurt,1.56,2.33
Bundesliga,11/04/2026,St Pauli,Bayern Munich,1.5,2.51
Bundesliga,12/04/2026,FC Koln,Werder Bremen,1.7,02.09
Bundesliga,12/04/2026,Stuttgart,Hamburg,1.44,2.7
Bundesliga,12/04/2026,Mainz,Freiburg,1.85,1.9
Bundesliga,17/04/2026,St Pauli,FC Koln,2,1.78
Bundesliga,18/04/2026,Hoffenheim,Dortmund,1.47,2.58
Bundesliga,18/04/2026,Leverkusen,Augsburg,1.44,2.68
Bundesliga,18/04/2026,Union Berlin,Wolfsburg,1.84,1.91
Bundesliga,18/04/2026,Werder Bremen,Hamburg,1.7,02.09
