fixture_id,league_id,season,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5,fetched_at,kickoff_utc
1388400,78,2025,Borussia Dortmund,VfB Stuttgart,1.51,2.47,2025-11-21T14:30:00+00:00,2025-11-22T14:30:00+00:00
1388402,78,2025,1. FC Heidenheim,Borussia Mönchengladbach,1.66,2.15,2025-11-21T14:30:00+00:00,2025-11-22T14:30:00+00:00
1388406,78,2025,VfL Wolfsburg,Bayer Leverkusen,1.6,2.26,2025-11-21T14:30:00+00:00,2025-11-22T14:30:00+00:00
1388401,78,2025,1. FC Köln,Eintracht Frankfurt,1.5,2.49,2025-11-21T17:30:00+00:00,2025-11-22T17:30:00+00:00
1388404,78,2025,RB Leipzig,Werder Bremen,1.32,3.24,2025-11-22T14:30:00+00:00,2025-11-23T14:30:00+00:00
1388405,78,2025,FC St. Pauli,Union Berlin,2.1,1.69,2025-11-22T16:30:00+00:00,2025-11-23T16:30:00+00:00
1388409,78,2025,Borussia Mönchengladbach,RB Leipzig,1.42,2.72,2025-11-27T19:30:00+00:00,2025-11-28T19:30:00+00:00
1388408,78,2025,Bayern München,FC St. Pauli,1.24,3.8,2025-11-28T14:30:00+00:00,2025-11-29T14:30:00+00:00
1388413,78,2025,1899 Hoffenheim,FC Augsburg,1.53,2.41,2025-11-28T14:30:00+00:00,2025-11-29T14:30:00+00:00
1388414,78,2025,Union Berlin,1. FC Heidenheim,1.85,1.91,2025-11-28T14:30:00+00:00,2025-11-29T14:30:00+00:00
1388415,78,2025,Werder Bremen,1. FC Köln,1.52,2.44,2025-11-28T14:30:00+00:00,2025-11-29T14:30:00+00:00
1388407,78,2025,Bayer Leverkusen,Borussia Dortmund,1.56,2.35,2025-11-28T17:30:00+00:00,2025-11-29T17:30:00+00:00
1388412,78,2025,Hamburger SV,VfB Stuttgart,1.53,2.42,2025-11-29T14:30:00+00:00,2025-11-30T14:30:00+00:00
1388410,78,2025,Eintracht Frankfurt,VfL Wolfsburg,1.46,2.61,2025-11-29T16:30:00+00:00,2025-11-30T16:30:00+00:00
1388411,78,2025,SC Freiburg,FSV Mainz 05,1.95,1.8,2025-11-29T18:30:00+00:00,2025-11-30T18:30:00+00:00
1388421,78,2025,FSV Mainz 05,Borussia Mönchengladbach,1.7,2.1,2025-12-04T19:30:00+00:00,2025-12-05T19:30:00+00:00
1388416,78,2025,FC Augsburg,Bayer Leverkusen,1.58,2.31,2025-12-05T14:30:00+00:00,2025-12-06T14:30:00+00:00
1388418,78,2025,1. FC Köln,FC St. Pauli,1.83,1.93,2025-12-05T14:30:00+00:00,2025-12-06T14:30:00+00:00
1388420,78,2025,1. FC Heidenheim,SC Freiburg,1.85,1.9,2025-12-05T14:30:00+00:00,2025-12-06T14:30:00+00:00
