League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Serie A,28/12/2025,Cremonese,Napoli,02.04,1.73
Serie A,28/12/2025,Bologna,Sassuolo,1.98,1.77
Serie A,28/12/2025,Atalanta,Inter,1.74,02.02
Serie A,29/12/2025,Roma,Genoa,2.32,1.56
Serie A,02/01/2026,Cagliari,Milan,02.03,1.74
Serie A,03/01/2026,Como,Udinese,1.98,1.78
Serie A,03/01/2026,Genoa,Pisa,2.5,1.49
Serie A,03/01/2026,Sassuolo,Parma,02.05,1.72
Serie A,03/01/2026,Juventus,Lecce,1.78,1.96
Serie A,03/01/2026,Atalanta,Roma,02.04,1.72
Serie A,04/01/2026,Lazio,Napoli,2.52,1.49
Serie A,04/01/2026,Fiorentina,Cremonese,1.99,1.76
Serie A,04/01/2026,Verona,Torino,2.41,1.52
Serie A,04/01/2026,Inter,Bologna,1.69,02.09
Serie A,06/01/2026,Pisa,Como,2.18,1.64
Serie A,06/01/2026,Lecce,Roma,2.26,1.6
Serie A,06/01/2026,Sassuolo,Juventus,1.92,1.84
Serie A,07/01/2026,Bologna,Atalanta,1.92,1.83
Serie A,07/01/2026,Napoli,Verona,02.01,1.75
Serie A,07/01/2026,Lazio,Fiorentina,2.23,1.62
Serie A,07/01/2026,Parma,Inter,1.61,2.24
Serie A,07/01/2026,Torino,Udinese,2.28,1.59
Serie A,08/01/2026,Cremonese,Cagliari,2.24,1.61
Serie A,08/01/2026,Milan,Genoa,1.98,1.77
Serie A,10/01/2026,Como,Bologna,02.07,1.71
Serie A,10/01/2026,Udinese,Pisa,2.27,1.59
Serie A,10/01/2026,Roma,Sassuolo,1.97,1.78
Serie A,10/01/2026,Atalanta,Torino,1.81,1.94
Serie A,11/01/2026,Lecce,Parma,2.58,1.47
Serie A,11/01/2026,Fiorentina,Milan,1.96,1.79
Serie A,11/01/2026,Verona,Lazio,2.48,1.51
Serie A,11/01/2026,Inter,Napoli,02.04,1.73
Serie A,12/01/2026,Genoa,Cagliari,2.57,1.47
Serie A,12/01/2026,Juventus,Cremonese,1.65,2.17
Serie A,14/01/2026,Napoli,Parma,1.87,1.87
Serie A,14/01/2026,Inter,Lecce,1.49,2.52
Serie A,15/01/2026,Verona,Bologna,2.24,1.61
Serie A,15/01/2026,Como,Milan,02.03,1.74
Serie A,16/01/2026,Pisa,Atalanta,1.86,1.89
Serie A,17/01/2026,Udinese,Inter,1.71,02.06
Serie A,17/01/2026,Napoli,Sassuolo,1.97,1.78
Serie A,17/01/2026,Cagliari,Juventus,02.02,1.74
Serie A,18/01/2026,Parma,Genoa,2.52,1.49
Serie A,18/01/2026,Bologna,Fiorentina,1.97,1.79
Serie A,18/01/2026,Torino,Roma,2.2,1.63
Serie A,18/01/2026,Milan,Lecce,1.85,1.9
Serie A,19/01/2026,Cremonese,Verona,2.35,1.55
Serie A,19/01/2026,Lazio,Como,2.34,1.56
Serie A,23/01/2026,Inter,Pisa,1.49,2.51
Serie A,24/01/2026,Como,Torino,02.02,1.74
Serie A,24/01/2026,Fiorentina,Cagliari,1.96,1.79
Serie A,24/01/2026,Lecce,Lazio,2.61,1.47
Serie A,25/01/2026,Sassuolo,Cremonese,2.11,1.69
Serie A,25/01/2026,Atalanta,Parma,1.71,02.08
Serie A,25/01/2026,Genoa,Bologna,2.38,1.55
Serie A,25/01/2026,Juventus,Napoli,2.53,1.49
Serie A,25/01/2026,Roma,Milan,2.17,1.65
Serie A,26/01/2026,Verona,Udinese,2.49,1.51
Serie A,30/01/2026,Lazio,Genoa,2.77,1.42
Serie A,31/01/2026,Pisa,Sassuolo,2.2,1.64
Serie A,31/01/2026,Napoli,Fiorentina,2,1.77
