League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Ligue 1,13/12/2025,Rennes,Brest,1.7,02.07
Ligue 1,13/12/2025,Metz,Paris SG,1.34,03.09
Ligue 1,13/12/2025,Paris FC,Toulouse,1.94,1.8
Ligue 1,14/12/2025,Lyon,Le Havre,1.89,1.85
Ligue 1,14/12/2025,Auxerre,Lille,1.86,1.87
Ligue 1,14/12/2025,Lens,Nice,1.49,2.5
Ligue 1,14/12/2025,Strasbourg,Lorient,1.76,1.99
Ligue 1,14/12/2025,Marseille,Monaco,1.47,2.59
Ligue 1,02/01/2026,Toulouse,Lens,1.95,1.8
Ligue 1,03/01/2026,Monaco,Lyon,1.57,2.3
Ligue 1,03/01/2026,Nice,Strasbourg,1.75,1.99
Ligue 1,03/01/2026,Lille,Rennes,1.66,2.15
Ligue 1,04/01/2026,Marseille,Nantes,1.46,2.59
Ligue 1,04/01/2026,Brest,Auxerre,1.95,1.79
Ligue 1,04/01/2026,Le Havre,Angers,2.17,1.65
Ligue 1,04/01/2026,Lorient,Metz,1.83,1.91
Ligue 1,04/01/2026,Paris SG,Paris FC,1.35,03.03
Ligue 1,16/01/2026,Monaco,Lorient,1.53,2.39
Ligue 1,16/01/2026,Paris SG,Lille,1.43,2.67
Ligue 1,17/01/2026,Lens,Auxerre,1.69,02.09
Ligue 1,17/01/2026,Toulouse,Nice,1.85,1.89
Ligue 1,17/01/2026,Angers,Marseille,1.84,1.89
Ligue 1,18/01/2026,Strasbourg,Metz,1.59,2.26
Ligue 1,18/01/2026,Nantes,Paris FC,1.98,1.77
Ligue 1,18/01/2026,Rennes,Le Havre,1.79,1.96
Ligue 1,18/01/2026,Lyon,Brest,1.72,02.04
Ligue 1,23/01/2026,Auxerre,Paris SG,1.53,2.42
Ligue 1,24/01/2026,Rennes,Lorient,1.8,1.94
Ligue 1,24/01/2026,Le Havre,Monaco,1.65,2.16
Ligue 1,24/01/2026,Marseille,Lens,1.61,2.24
Ligue 1,25/01/2026,Nantes,Nice,1.75,2
Ligue 1,25/01/2026,Brest,Toulouse,02.09,1.69
Ligue 1,25/01/2026,Metz,Lyon,1.69,02.08
