League,Date,HomeTeam,AwayTeam,Avg>2.5,Avg<2.5
Liga,10/01/2026,Valencia,Elche,2.12,1.67
Liga,11/01/2026,Vallecano,Mallorca,2.4,1.53
Liga,11/01/2026,Levante,Espanol,02.04,1.73
Liga,12/01/2026,Sevilla,Celta,1.97,1.77
Liga,16/01/2026,Espanol,Girona,02.07,1.71
Liga,17/01/2026,Real Madrid,Levante,1.27,3.52
Liga,17/01/2026,Mallorca,Ath Bilbao,2.45,1.51
Liga,17/01/2026,Osasuna,Oviedo,2.35,1.55
Liga,17/01/2026,Betis,Villarreal,1.65,2.16
Liga,18/01/2026,Getafe,Valencia,3.17,1.32
Liga,18/01/2026,Ath Madrid,Alaves,1.82,1.91
Liga,18/01/2026,Celta,Vallecano,2.2,1.63
Liga,18/01/2026,Sociedad,Barcelona,1.39,2.85
Liga,19/01/2026,Elche,Sevilla,2.11,1.68
Liga,23/01/2026,Levante,Elche,1.98,1.78
Liga,24/01/2026,Vallecano,Osasuna,2.32,1.56
Liga,24/01/2026,Valencia,Espanol,2.23,1.61
Liga,24/01/2026,Sevilla,Ath Bilbao,2.25,1.6
Liga,24/01/2026,Villarreal,Real Madrid,1.46,2.62
Liga,25/01/2026,Ath Madrid,Mallorca,1.66,2.15
Liga,25/01/2026,Barcelona,Oviedo,1.22,04.02
Liga,25/01/2026,Sociedad,Celta,02.01,1.75
Liga,25/01/2026,Alaves,Betis,2.24,1.6
Liga,26/01/2026,Girona,Getafe,2.76,1.41
Liga,30/01/2026,Espanol,Alaves,2.51,1.5
Liga,31/01/2026,Oviedo,Girona,2.23,1.61
Liga,31/01/2026,Osasuna,Villarreal,1.87,1.87
Liga,31/01/2026,Levante,Ath Madrid,1.74,02.02
Liga,31/01/2026,Elche,Barcelona,1.33,3.15
Liga,01/02/2026,Real Madrid,Vallecano,1.46,2.6
Liga,01/02/2026,Betis,Valencia,1.86,1.88
Liga,01/02/2026,Getafe,Celta,2.86,1.39
Liga,01/02/2026,Ath Bilbao,Sociedad,2.19,1.64
Liga,02/02/2026,Mallorca,Sevilla,2.2,1.63
Liga,06/02/2026,Celta,Osasuna,2.19,1.65
Liga,07/02/2026,Barcelona,Mallorca,1.25,3.72
Liga,07/02/2026,Sociedad,Elche,1.8,1.94
Liga,08/02/2026,Alaves,Getafe,3.34,1.3
Liga,08/02/2026,Ath Bilbao,Levante,1.94,1.8
Liga,08/02/2026,Sevilla,Girona,1.97,1.77
Liga,08/02/2026,Ath Madrid,Betis,1.65,2.17
Liga,08/02/2026,Valencia,Real Madrid,1.55,2.35
Liga,09/02/2026,Villarreal,Espanol,1.72,02.04
